,id,fl_matriz,de_natureza_juridica,sg_uf,natureza_juridica_macro,de_ramo,setor,idade_empresa_anos,idade_emp_cat,fl_me,fl_sa,fl_epp,fl_mei,fl_ltda,dt_situacao,fl_st_especial,fl_email,fl_telefone,fl_rm,nm_divisao,nm_segmento,fl_spa,fl_antt,fl_veiculo,vl_total_tancagem,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados,fl_optante_simples,qt_art,vl_total_veiculos_pesados_grupo,vl_total_veiculos_leves_grupo,vl_total_tancagem_grupo,vl_total_veiculos_antt_grupo,vl_potenc_cons_oleo_gas,fl_optante_simei,sg_uf_matriz,de_saude_tributaria,de_saude_rescencia,nu_meses_rescencia,de_nivel_atividade,de_indicador_telefone,fl_simples_irregular,vl_frota,empsetorcensitariofaixarendapopulacao,nm_meso_regiao,nm_micro_regiao,fl_passivel_iss,qt_socios,qt_socios_pf,qt_socios_pj,idade_media_socios,idade_maxima_socios,idade_minima_socios,qt_socios_st_regular,qt_socios_st_suspensa,qt_socios_masculino,qt_socios_feminino,qt_socios_pep,qt_alteracao_socio_total,qt_alteracao_socio_90d,qt_alteracao_socio_180d,qt_alteracao_socio_365d,qt_socios_pj_ativos,qt_socios_pj_nulos,qt_socios_pj_baixados,qt_socios_pj_suspensos,qt_socios_pj_inaptos,vl_idade_media_socios_pj,vl_idade_maxima_socios_pj,vl_idade_minima_socios_pj,qt_coligados,qt_socios_coligados,qt_coligados_matriz,qt_coligados_ativo,qt_coligados_baixada,qt_coligados_inapta,qt_coligados_suspensa,qt_coligados_nula,idade_media_coligadas,idade_maxima_coligadas,idade_minima_coligadas,coligada_mais_nova_ativa,coligada_mais_antiga_ativa,idade_media_coligadas_ativas,coligada_mais_nova_baixada,coligada_mais_antiga_baixada,idade_media_coligadas_baixadas,qt_coligados_sa,qt_coligados_me,qt_coligados_mei,qt_coligados_ltda,qt_coligados_epp,qt_coligados_norte,qt_coligados_sul,qt_coligados_nordeste,qt_coligados_centro,qt_coligados_sudeste,qt_coligados_exterior,qt_ufs_coligados,qt_regioes_coligados,qt_ramos_coligados,qt_coligados_industria,qt_coligados_agropecuaria,qt_coligados_comercio,qt_coligados_servi̤o,qt_coligados_ccivil,qt_funcionarios_coligados,qt_funcionarios_coligados_gp,media_funcionarios_coligados_gp,max_funcionarios_coligados_gp,min_funcionarios_coligados_gp,vl_folha_coligados,media_vl_folha_coligados,max_vl_folha_coligados,min_vl_folha_coligados,vl_folha_coligados_gp,media_vl_folha_coligados_gp,max_vl_folha_coligados_gp,min_vl_folha_coligados_gp,faturamento_est_coligados,media_faturamento_est_coligados,max_faturamento_est_coligados,min_faturamento_est_coligados,faturamento_est_coligados_gp,media_faturamento_est_coligados_gp,max_faturamento_est_coligados_gp,min_faturamento_est_coligados_gp,total_filiais_coligados,media_filiais_coligados,max_filiais_coligados,min_filiais_coligados,qt_coligados_atividade_alto,qt_coligados_atividade_medio,qt_coligados_atividade_baixo,qt_coligados_atividade_mt_baixo,qt_coligados_atividade_inativo,qt_coligadas,sum_faturamento_estimado_coligadas,de_faixa_faturamento_estimado,de_faixa_faturamento_estimado_grupo,vl_faturamento_estimado_aux,vl_faturamento_estimado_grupo_aux,qt_ex_funcionarios,qt_funcionarios_grupo,percent_func_genero_masc,percent_func_genero_fem,idade_ate_18,idade_de_19_a_23,idade_de_24_a_28,idade_de_29_a_33,idade_de_34_a_38,idade_de_39_a_43,idade_de_44_a_48,idade_de_49_a_53,idade_de_54_a_58,idade_acima_de_58,grau_instrucao_macro_analfabeto,grau_instrucao_macro_escolaridade_fundamental,grau_instrucao_macro_escolaridade_media,grau_instrucao_macro_escolaridade_superior,grau_instrucao_macro_desconhecido,total,meses_ultima_contratacaco,qt_admitidos_12meses,qt_desligados_12meses,qt_desligados,qt_admitidos,media_meses_servicos_all,max_meses_servicos_all,min_meses_servicos_all,media_meses_servicos,max_meses_servicos,min_meses_servicos,qt_funcionarios,qt_funcionarios_12meses,qt_funcionarios_24meses,tx_crescimento_12meses,tx_crescimento_24meses,tx_rotatividade,qt_filiais
0,dabe79bec87c88ae04e869bf6bd321ee5e1893cecf66255be9ea861a9e5841a9,TRUE,EMPRESARIO INDIVIDUAL,PI,OUTROS,COMERCIO VAREJISTA,COMERCIO,0.6465753425,<= 1,FALSE,FALSE,FALSE,TRUE,FALSE,2018-03-06,FALSE,FALSE,FALSE,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,FALSE,FALSE,FALSE,,,,,,,0,0,,,,,PI,CINZA,SEM INFORMACAO,,BAIXA,,FALSE,,379.96,SUDOESTE PIAUIENSE,SAO RAIMUNDO NONATO,FALSE,1,1,0,45,45,45,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 81.000,01 A R$ 360.000,00","DE R$ 81.000,01 A R$ 360.000,00",210000,210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,32e5f4e10932153a7ba869cb0386e7e02d49d2461046b866411556d2af150702,FALSE,EMPRESARIO INDIVIDUAL,MA,OUTROS,COMERCIO VAREJISTA,COMERCIO,6.58630137,5 a 10,FALSE,FALSE,FALSE,FALSE,FALSE,2012-03-29,FALSE,TRUE,TRUE,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,FALSE,FALSE,FALSE,,,,,FALSE,,0,0,,,,FALSE,MA,VERDE,ACIMA DE 1 ANO,22,MEDIA,,FALSE,,1865.61,CENTRO MARANHENSE,MEDIO MEARIM,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 81.000,01 A R$ 360.000,00","DE R$ 360.000,01 A R$ 1.500.000,00",210000,1000915.2,6,2,,,,,,,,,,,,,,,,,,,58.66666667,0,0,6,6,22.42777778,47.63333333,3.966666667,,,,0,0,2,,-100,0,4
2,a95d6f30bba445bd3d6b0c5b36f865b38ec01d1733609095d359649cfedf15d1,TRUE,EMPRESARIO INDIVIDUAL,MA,OUTROS,COMERCIO VAREJISTA,COMERCIO,8.010958904,5 a 10,FALSE,FALSE,FALSE,TRUE,FALSE,2010-10-26,FALSE,FALSE,FALSE,SIM,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,FALSE,FALSE,FALSE,,,,,TRUE,,0,0,,,,TRUE,MA,AZUL,ACIMA DE 1 ANO,24,MEDIA,,FALSE,,798.12,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,FALSE,1,1,0,54,54,54,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ATE R$ 81.000,00","ATE R$ 81.000,00",50000,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,6cb309685cea0b6d2988818792ec2e6fcb2bd02e0afa9e74532d5040fbc933b8,TRUE,EMPRESARIO INDIVIDUAL,RN,OUTROS,COMERCIO VAREJISTA,COMERCIO,20.8630137,> 20,FALSE,FALSE,FALSE,FALSE,FALSE,2005-11-03,FALSE,FALSE,FALSE,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,FALSE,FALSE,FALSE,,,,,TRUE,,0,0,,,,TRUE,RN,VERDE,ACIMA DE 1 ANO,26,ALTA,,FALSE,,608.47,OESTE POTIGUAR,UMARIZAL,FALSE,1,1,0,40,40,40,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ATE R$ 81.000,00","ATE R$ 81.000,00",50000,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,f72aa7fa6787b0a5a1c88885b6120850df8ee0f71adc251dfe8d321e9e6de7f5,TRUE,SOCIEDADE EMPRESARIA LIMITADA,RN,ENTIDADES EMPRESARIAIS,COMERCIO VAREJISTA,COMERCIO,18.7260274,15 a 20,FALSE,FALSE,FALSE,FALSE,FALSE,2005-11-03,FALSE,TRUE,TRUE,SIM,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,FALSE,FALSE,FALSE,,,,,TRUE,1,0,0,,,,FALSE,RN,VERDE,ACIMA DE 1 ANO,23,ALTA,BOA,FALSE,,880.71,LESTE POTIGUAR,NATAL,FALSE,2,2,0,33,33,33,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 1.500.000,01 A R$ 4.800.000,00","DE R$ 4.800.000,01 A R$ 10.000.000,00",3029140.8,5872824,28,28,14.29,85.71,,,4,3,2,4,1,,,,,,11,3,,14,19.33333333,0,0,29,43,28.98682171,166.4333333,0.2333333333,39.4547619,91.2,19.33333333,14,15,25,-6.666666667,-44,0,3
5,f7e2894dce5dbb49662da50c55bcb96cdc3d34188abfe82d54ab6d94e7244d0c,TRUE,EMPRESARIO INDIVIDUAL,MA,OUTROS,COMERCIO VAREJISTA,COMERCIO,6.238356164,5 a 10,FALSE,FALSE,FALSE,FALSE,FALSE,2012-08-03,FALSE,FALSE,FALSE,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,FALSE,FALSE,FALSE,,,,,TRUE,,0,0,,,,FALSE,MA,AZUL,ACIMA DE 1 ANO,25,BAIXA,,FALSE,,1126.14,SUL MARANHENSE,GERAIS DE BALSAS,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 81.000,01 A R$ 360.000,00","DE R$ 81.000,01 A R$ 360.000,00",210000,210000,1,0,,,,,,,,,,,,,,,,,,,34.26666667,0,0,1,1,17.13333333,17.13333333,17.13333333,,,,0,0,1,,-100,0,0
6,f0c84600cbd2e126ee8314d22816368f33207e723a6ae7ae781582b320c29e4e,TRUE,EMPRESARIO INDIVIDUAL,AM,OUTROS,COMERCIO VAREJISTA,COMERCIO,9.663013699,5 a 10,FALSE,FALSE,FALSE,FALSE,FALSE,2009-03-02,FALSE,TRUE,TRUE,SIM,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,FALSE,FALSE,FALSE,,,,,TRUE,,0,0,,,,FALSE,AM,AZUL,ACIMA DE 1 ANO,21,ALTA,,FALSE,,,CENTRO AMAZONENSE,MANAUS,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 81.000,01 A R$ 360.000,00","DE R$ 81.000,01 A R$ 360.000,00",210000,210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,d0f8bc5c0e71600d303cacebb3e8e6fd9195322b2c1b15940863e2e980bb17a5,TRUE,EMPRESARIO INDIVIDUAL,RN,OUTROS,COMERCIO VAREJISTA,COMERCIO,0.495890411,<= 1,FALSE,FALSE,FALSE,TRUE,FALSE,2018-04-30,FALSE,TRUE,TRUE,SIM,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,FALSE,FALSE,FALSE,,,,,,,0,0,,,,,RN,CINZA,SEM INFORMACAO,,MEDIA,,FALSE,,860.88,LESTE POTIGUAR,NATAL,FALSE,1,1,0,25,25,25,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 81.000,01 A R$ 360.000,00","DE R$ 81.000,01 A R$ 360.000,00",210000,210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,b9b02480a757c3cc5054d6c01e44df62b22ea1328a874374abd49b7197b3d91c,TRUE,SOCIEDADE EMPRESARIA LIMITADA,MA,ENTIDADES EMPRESARIAIS,COMERCIO VAREJISTA,COMERCIO,1.161643836,1 a 5,FALSE,FALSE,FALSE,FALSE,FALSE,2017-08-30,FALSE,FALSE,TRUE,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,FALSE,FALSE,FALSE,,,,,,,0,0,,,,,MA,CINZA,ATE 1 ANO,11,ALTA,,FALSE,,771.97,SUL MARANHENSE,GERAIS DE BALSAS,TRUE,2,2,0,34,34,34,1,,,1,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,93.73333333,93.73333333,93.73333333,93.73333333,93.73333333,93.73333333,,,,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,,,,210000,210000,210000,210000,210000,210000,210000,210000,,,,,0,0,0,0,0,1,210000,"DE R$ 360.000,01 A R$ 1.500.000,00","DE R$ 360.000,01 A R$ 1.500.000,00",927288,927288,1,5,40,60,,4,1,,,,,,,,,,5,,,5,3.833333333,6,1,1,6,4.811111111,5.8,1.833333333,5.406666667,5.8,3.833333333,5,0,0,,,0,0
9,7d58990ba786a3a26617a8afbf814a9919ab34aa09013a559b2c9d45eb439720,TRUE,SOCIEDADE EMPRESARIA LIMITADA,PI,ENTIDADES EMPRESARIAIS,COMERCIO VAREJISTA,COMERCIO,5.309589041,5 a 10,FALSE,FALSE,FALSE,FALSE,FALSE,2013-07-08,FALSE,TRUE,FALSE,SIM,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,FALSE,FALSE,FALSE,,,,,TRUE,,0,0,,,,FALSE,PI,AZUL,ACIMA DE 1 ANO,23,MEDIA,,FALSE,,853.16,CENTRO NORTE PIAUIENSE,TERESINA,FALSE,2,2,0,24,24,24,1,,1,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,30.86666667,30.86666667,30.86666667,30.86666667,30.86666667,30.86666667,,,,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,,,,,,,,,,,,,,210000,210000,210000,210000,210000,210000,210000,210000,,,,,0,0,0,0,0,1,210000,"DE R$ 81.000,01 A R$ 360.000,00","DE R$ 81.000,01 A R$ 360.000,00",210000,210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
